year,country,cpi,inflation,gdp,ctry_temp ,prec,glob_temp,CO2
2010,php,100,3.79,2201.78,30.55,2598.36,0.72,0.87
2011,php,104.72,4.72,2431.2,30.16,3358.83,0.61,0.86
2012,php,107.89,3.03,2671.78,30.58,2962.25,0.65,0.88
2013,php,110.67,2.58,2847.57,30.6,2729.13,0.68,0.96
2014,php,114.66,3.6,2935.93,30.5,2519.66,0.74,1
2015,php,115.43,0.67,2974.3,30.74,2373.26,0.9,1.08
2016,php,116.88,1.25,3038.15,30.93,2491.47,1.02,1.15
2017,php,120.21,2.85,3077.43,30.4,3176.99,0.92,1.25
2018,php,126.59,5.31,3194.67,30.74,2770.4,0.85,1.28
2019,php,129.62,2.39,3413.85,30.76,2396.16,0.98,1.32
2020,php,132.72,2.39,3224.42,30.87,2534.15,1.01,1.19
2021,php,137.94,3.93,3460.54,30.79,2814.66,0.85,
2022,php,145.97,5.82,3498.51,30.66,3068.66,0.89,
1961,sgd,27.63,0.4,449.15,30.35,2109.54,0.06,
1962,sgd,27.75,0.42,472.08,30.19,2430.49,0.03,
1963,sgd,28.36,2.21,511.2,30.42,1900.73,0.05,
1964,sgd,28.85,1.73,485.53,30.26,3143.91,0.2,
1965,sgd,28.9,0.18,516.53,30.34,2189.77,0.11,
1966,sgd,29.48,2.01,566.8,30.46,2563.65,0.06,
1967,sgd,30.46,3.34,626.03,30.1,3019.72,0.02,
1968,sgd,30.66,0.66,708.6,30.48,2253.6,0.08,
1969,sgd,30.58,0.27,812.68,30.64,2407.16,0.05,
1970,sgd,30.72,0.46,925.8,30.47,2318.44,0.03,
1971,sgd,31.26,1.76,1071.41,30.21,1776.96,0.08,
1972,sgd,31.91,2.08,1264.38,30.64,1869.38,0.01,
1973,sgd,38.18,19.64,1685.46,30.47,2909.38,0.16,
1974,sgd,46.72,22.37,2341.71,30.19,2160.46,0.07,
1975,sgd,47.9,2.54,2489.91,30.15,2129.1,0.01,
1976,sgd,47.02,1.84,2758.94,30.35,2156.98,0.1,
1977,sgd,48.51,3.16,2846.34,30.57,1915.21,0.18,
1978,sgd,50.87,4.87,3193.91,30.59,2870.73,0.07,
1979,sgd,52.95,4.08,3900.53,30.81,2320.84,0.16,
1980,sgd,57.46,8.53,4928.14,30.65,2782.29,0.26,
1981,sgd,62.16,8.18,5596.59,30.86,1841.72,0.32,
1982,sgd,64.6,3.92,6077.63,30.86,1899.39,0.14,
1983,sgd,65.37,1.2,6633.24,31.18,2000.65,0.31,
1984,sgd,67.07,2.6,7228.32,30.3,3092.86,0.16,
1985,sgd,67.39,0.48,7001.77,30.73,2397.09,0.12,
1986,sgd,66.46,1.39,6799.93,30.85,2607.93,0.18,
1987,sgd,66.81,0.52,7539.03,31.14,2559.31,0.32,
1988,sgd,67.82,1.52,8914.44,30.86,2677.6,0.39,
1989,sgd,69.41,2.35,10394.54,30.71,2547.74,0.27,
1990,sgd,71.82,3.46,11861.76,31.22,2025.63,0.45,9.51
1991,sgd,74.28,3.43,14502.38,31.07,2386.1,0.4,9.72
1992,sgd,75.96,2.26,16136.24,31.04,2464.29,0.22,9.72
1993,sgd,77.7,2.29,18290.13,30.88,2640.32,0.23,10.91
1994,sgd,80.11,3.1,21552.41,30.94,2325.27,0.31,11.11
1995,sgd,81.48,1.72,24914.85,30.95,2995.51,0.45,10.66
1996,sgd,82.61,1.38,26232.87,30.98,2652.83,0.33,10.49
1997,sgd,84.27,2,26375.87,31.46,1687.02,0.46,10.05
1998,sgd,84.04,0.27,21829.27,31.69,2207.53,0.61,9.43
1999,sgd,84.05,0.02,21796.64,30.91,2457.97,0.38,9.55
2000,sgd,85.2,1.36,23852.84,31.14,2703.91,0.39,10.46
2001,sgd,86.05,1,21699.74,31.3,2657.65,0.53,10.16
2002,sgd,85.71,0.39,22159.84,31.75,2172.87,0.63,9.89
2003,sgd,86.15,0.51,23730.38,31.3,2846.32,0.62,9.27
2004,sgd,87.58,1.66,27608.08,31.35,2430.41,0.53,9.51
2005,sgd,87.95,0.43,29961.32,31.3,2293.51,0.68,8.65
2006,sgd,88.8,0.96,33768.45,31.04,2620.32,0.64,8.45
2007,sgd,90.67,2.1,39432.89,30.88,2824.8,0.66,8.34
2008,sgd,96.68,6.63,40008.57,30.74,2847.23,0.54,7.94
2009,sgd,97.25,0.6,38926.81,30.99,2494.81,0.66,7.79
2010,sgd,100,2.82,47236.68,31.31,2703.85,0.72,8.35
2011,sgd,105.25,5.25,53891.46,30.89,2760.97,0.61,8.64
2012,sgd,110.06,4.58,55547.56,31.05,2595.82,0.65,8.22
2013,sgd,112.66,2.36,56967.43,31.15,2767.03,0.68,8.13
2014,sgd,113.81,1.03,57564.8,31.32,2132.6,0.74,8.12
2015,sgd,113.22,0.52,55645.61,31.52,1984.05,0.9,8.21
2016,sgd,112.62,0.53,56895.66,31.55,2455.27,1.02,8.02
2017,sgd,113.27,0.58,61164.9,31.22,2625.53,0.92,8.43
2018,sgd,113.76,0.44,66836.52,31.73,2573.56,0.85,8.02
2019,sgd,114.41,0.57,66070.49,32.05,1847.01,0.98,7.92
2020,sgd,114.2,0.18,61273.99,31.84,2484.51,1.01,7.69
2021,sgd,116.83,2.3,77710.09,31.5,3195.1,0.85,
2022,sgd,123.98,6.12,82807.63,31.58,2894.53,0.89,
1961,tha,10.97,7.39,110.73,31.51,1740.1,0.06,
1962,tha,11.37,3.7,117.16,31.64,1586.14,0.03,
1963,tha,11.37,0,121.6,31.56,1664.81,0.05,
1964,tha,11.28,0.79,129.58,31.52,1689.46,0.2,
1965,tha,11.3,0.17,141.85,31.67,1600.65,0.11,
1966,tha,11.76,4.04,165.58,32.01,1762.56,0.06,
1967,tha,12.26,4.31,171.7,31.46,1455.12,0.02,
1968,tha,12.48,1.79,179.87,31.88,1472.85,0.08,
1969,tha,12.79,2.45,192.46,31.88,1639.69,0.05,
1970,tha,12.78,0.09,197.99,31.49,1867.78,0.03,
1971,tha,12.84,0.48,200.36,31,1642.87,0.08,
1972,tha,13.46,4.84,216.15,31.74,1555.46,0.01,
1973,tha,15.55,15.51,278.82,31.82,1589.83,0.16,
1974,tha,19.33,24.31,343.43,31.2,1681.47,0.07,
1975,tha,20.36,5.33,363.81,31.24,1726.68,0.01,
1976,tha,21.2,4.15,405.55,31.42,1598.93,0.1,
1977,tha,22.81,7.6,461.66,31.64,1378.06,0.18,
1978,tha,24.62,7.92,548.01,31.8,1623.1,0.07,
1979,tha,27.06,9.9,611.52,32.52,1294.04,0.16,
1980,tha,32.39,19.7,707.37,32.03,1669.85,0.26,
1981,tha,36.49,12.66,745.73,31.16,1553.21,0.32,
1982,tha,38.41,5.26,767.08,31.36,1504.89,0.14,
1983,tha,39.84,3.73,822.73,31.77,1632.68,0.31,
1984,tha,40.19,0.86,842.07,31.35,1504.35,0.16,
1985,tha,41.16,2.43,768.87,31.36,1539.99,0.12,
1986,tha,41.92,1.84,836.15,31.47,1497.08,0.18,
1987,tha,42.95,2.47,962.96,32.27,1494.28,0.32,
1988,tha,44.61,3.86,1154.58,31.89,1744.1,0.39,
1989,tha,47,5.36,1330,32.07,1419.78,0.27,
1990,tha,49.76,5.86,1545.28,32.28,1529.3,0.45,1.59
1991,tha,52.6,5.71,1751.07,32.4,1425.79,0.4,1.72
1992,tha,54.78,4.14,1957.41,32.13,1370.1,0.22,1.88
1993,tha,56.59,3.31,2230.84,32.15,1330.24,0.23,2.14
1994,tha,59.45,5.05,2502.71,32.05,1653.44,0.31,2.35
1995,tha,62.91,5.82,2848.62,31.99,1669.6,0.45,2.63
1996,tha,66.56,5.81,3039.89,31.48,1754.71,0.33,2.92
1997,tha,70.3,5.63,2462.41,32.26,1390.14,0.46,2.98
1998,tha,75.92,7.99,1841.04,32.95,1520.52,0.61,2.6
1999,tha,76.14,0.28,2028.57,31.28,1771.63,0.38,2.71
2000,tha,77.35,1.59,2004.11,31.68,1760.17,0.39,2.68
2001,tha,78.61,1.63,1889.97,31.76,1593.13,0.53,2.81
2002,tha,79.16,0.7,2091.18,31.9,1645.98,0.63,2.97
2003,tha,80.59,1.8,2350.85,31.96,1539.52,0.62,3.02
2004,tha,82.81,2.76,2647.26,32.02,1438.8,0.53,3.27
2005,tha,86.57,4.54,2876.25,31.99,1581.45,0.68,3.37
2006,tha,90.59,4.64,3343.79,31.97,1714.52,0.64,3.39
2007,tha,92.62,2.24,3934.69,31.84,1662.52,0.66,3.47
2008,tha,97.68,5.47,4327.8,31.29,1712.79,0.54,3.47
2009,tha,96.85,0.85,4154.19,31.9,1638.83,0.66,3.32
2010,tha,100,3.25,4996.37,32.48,1637.71,0.72,3.53
2011,tha,103.81,3.81,5396.64,31.2,1990.16,0.61,3.48
2012,tha,106.94,3.01,5748.63,32.23,1538.85,0.65,3.71
2013,tha,109.28,2.18,6041.13,31.88,1760.87,0.68,3.8
2014,tha,111.35,1.9,5822.38,32.2,1472.06,0.74,3.74
2015,tha,110.34,0.9,5708.79,32.58,1420.21,0.9,3.82
2016,tha,110.55,0.19,5854.46,32.57,1600.27,1.02,3.79
2017,tha,111.29,0.67,6436.79,31.85,1985.24,0.92,3.77
2018,tha,112.47,1.06,7124.56,31.85,1573.64,0.85,3.72
2019,tha,113.27,0.71,7628.58,32.89,1308.5,0.98,3.85
2020,tha,112.31,0.85,7001.79,32.69,1541.5,1.01,3.71
2021,tha,113.69,1.23,7060.9,32.03,1631.11,0.85,
2022,tha,120.6,6.08,6909.96,31.78,2066.47,0.89,
1961,vtm,0,0,0,28.35,1857.23,0.06,
1962,vtm,0,0,0,28.2,1657.31,0.03,
1963,vtm,0,0,0,28.39,1829.7,0.05,
1964,vtm,0,0,0,28.07,1798.64,0.2,
1965,vtm,0,0,0,28.3,1688.08,0.11,
1966,vtm,0,0,0,28.54,1856.94,0.06,
1967,vtm,0,0,0,27.82,1653.28,0.02,
1968,vtm,0,0,0,28.11,1709.15,0.08,
1969,vtm,0,0,0,28.41,1600.59,0.05,
1970,vtm,0,0,0,27.96,1879.93,0.03,
1971,vtm,0,0,0,27.72,1880.04,0.08,
1972,vtm,0,0,0,28.15,1856.56,0.01,
1973,vtm,0,0,0,28.44,1788.05,0.16,
1974,vtm,0,0,0,27.94,1808.18,0.07,
1975,vtm,0,0,0,28.07,1871.84,0.01,
1976,vtm,0,0,0,27.86,1669.16,0.1,
1977,vtm,0,0,0,28.31,1618.55,0.18,
1978,vtm,0,0,0,28.29,1913.66,0.07,
1979,vtm,0,0,0,28.69,1641.64,0.16,
1980,vtm,0,0,0,28.54,1757.42,0.26,
1981,vtm,0,0,0,28.1,1768.1,0.32,
1982,vtm,0,0,0,28.07,1790.95,0.14,
1983,vtm,0,0,0,28.3,1761.88,0.31,
1984,vtm,0,0,0,27.9,1784.7,0.16,
1985,vtm,0,0,235.65,27.92,1757.4,0.12,
1986,vtm,0,0,430.19,28.17,1943.79,0.18,
1987,vtm,0,0,585.3,28.94,1626.73,0.32,
1988,vtm,0,0,397.01,28.42,1652.94,0.39,
1989,vtm,0,0,96.13,28.48,1632.9,0.27,
1990,vtm,0,0,96.72,28.71,1857.97,0.45,0.29
1991,vtm,0,0,140.63,28.76,1689.63,0.4,0.29
1992,vtm,0,0,141.38,28.49,1648.07,0.22,0.3
1993,vtm,0,0,185.19,28.59,1621.31,0.23,0.34
1994,vtm,0,0,224.64,28.64,1924.05,0.31,0.37
1995,vtm,40.17,0,281.13,28.43,1744.15,0.45,0.43
1996,vtm,42.45,5.67,329,28.22,1852.47,0.33,0.47
1997,vtm,43.81,3.21,352.93,28.61,1793.09,0.46,0.54
1998,vtm,46.99,7.27,352.78,29.38,1712.69,0.61,0.59
1999,vtm,48.93,4.12,367.16,28.33,1899.74,0.38,0.59
2000,vtm,48.09,1.71,394.58,28.29,1710.02,0.39,0.65
2001,vtm,47.88,0.43,409.5,28.5,1923.21,0.53,0.71
2002,vtm,49.72,3.83,434.81,28.69,1891.02,0.63,0.82
2003,vtm,51.32,3.23,485.45,28.88,1632.2,0.62,0.87
2004,vtm,55.3,7.75,551.9,28.51,1626,0.53,1.03
2005,vtm,59.88,8.28,693.19,28.52,1801.26,0.68,1.11
2006,vtm,64.33,7.42,790.59,28.76,1743.58,0.64,1.13
2007,vtm,69.69,8.34,913.31,28.44,1762.21,0.66,1.24
2008,vtm,85.81,23.12,1158.1,27.92,1945.05,0.54,1.37
2009,vtm,91.57,6.72,1225.85,28.67,1625.07,0.66,1.53
2010,vtm,100,9.21,1684.01,28.91,1647.79,0.72,1.73
2011,vtm,118.68,18.68,1953.56,27.85,1814.29,0.61,1.77
2012,vtm,129.47,9.09,2190.23,28.59,1875.29,0.65,1.74
2013,vtm,138.01,6.59,2367.5,28.41,1894.16,0.68,1.82
2014,vtm,143.64,4.08,2558.78,28.69,1685.49,0.74,1.98
2015,vtm,144.55,0.63,2595.23,29.06,1762.83,0.9,2.19
2016,vtm,148.41,2.67,2760.72,28.97,1791.49,1.02,2.38
2017,vtm,153.63,3.52,2992.07,28.46,1888.26,0.92,2.44
2018,vtm,159.07,3.54,3267.23,28.52,1796.24,0.85,3.01
2019,vtm,163.52,2.8,3491.09,29.33,1638.74,0.98,3.57
2020,vtm,168.78,3.22,3586.35,28.97,1671.96,1.01,3.68
2021,vtm,171.88,1.83,3756.49,28.79,1761.22,0.85,
2022,vtm,177.31,3.16,4163.51,28.38,1752.34,0.89,
